epoch,train_loss,train_acc,val_loss,val_acc
1,1.3909674561691283,0.49366,1.1390286001205445,0.5944
2,0.8828028976249694,0.68862,0.9958361552238464,0.6424
3,0.6918709280014038,0.75844,0.630363042640686,0.7816
4,0.4918517322731018,0.82886,0.42869366559982297,0.8534
5,0.4383764967536926,0.84722,0.4095200572490692,0.8618
